التاريخ,الصنف,التصنيف,الكمية,سعر الوحدة (ر.ع),التكلفة (ر.ع),إجمالي المبيعات (ر.ع),الربح (ر.ع)
2023-08-01,Sunblock (La Roche),Cosmetics,5,12.0,7.2,60.0,24.0
2023-08-01,Diapers (Pampers),Baby Care,4,6.5,3.9,26.0,10.4
2023-08-01,Panadol Extra 500mg,Painkillers,3,1.2,0.72,3.6,1.44
2023-08-01,Blood Pressure Monitor,Medical Devices,3,15.0,9.0,45.0,18.0
2023-08-02,Blood Pressure Monitor,Medical Devices,2,15.0,9.0,30.0,12.0
2023-08-02,Baby Formula Milk,Baby Care,1,4.8,4.08,4.8,0.72
2023-08-02,Sunblock (La Roche),Cosmetics,2,12.0,7.2,24.0,9.6
2023-08-02,Brufen 400mg,Painkillers,1,1.5,0.9,1.5,0.6
2023-08-02,Vitamin C 1000mg,Vitamins,1,3.5,2.1,3.5,1.4
2023-08-02,Brufen 400mg,Painkillers,3,1.5,0.9,4.5,1.8
2023-08-02,Sunblock (La Roche),Cosmetics,2,12.0,7.2,24.0,9.6
2023-08-03,Brufen 400mg,Painkillers,4,1.5,0.9,6.0,2.4
2023-08-03,Brufen 400mg,Painkillers,2,1.5,0.9,3.0,1.2
2023-08-03,Brufen 400mg,Painkillers,4,1.5,0.9,6.0,2.4
2023-08-03,Amoxil 500mg (Antibiotic),Prescription,2,4.2,2.52,8.4,3.36
2023-08-04,Band-Aids,First Aid,4,0.8,0.48,3.2,1.28
2023-08-04,Band-Aids,First Aid,5,0.8,0.48,4.0,1.6
2023-08-04,Diapers (Pampers),Baby Care,2,6.5,3.9,13.0,5.2
2023-08-05,Band-Aids,First Aid,5,0.8,0.48,4.0,1.6
2023-08-05,Cough Syrup,Cold & Flu,3,2.1,1.26,6.3,2.52
2023-08-05,Panadol Extra 500mg,Painkillers,4,1.2,0.72,4.8,1.92
2023-08-05,Brufen 400mg,Painkillers,1,1.5,0.9,1.5,0.6
2023-08-06,Panadol Extra 500mg,Painkillers,3,1.2,0.72,3.6,1.44
2023-08-06,Vitamin C 1000mg,Vitamins,4,3.5,2.1,14.0,5.6
2023-08-06,Cough Syrup,Cold & Flu,3,2.1,1.26,6.3,2.52
2023-08-06,Cough Syrup,Cold & Flu,5,2.1,1.26,10.5,4.2
2023-08-06,Panadol Extra 500mg,Painkillers,2,1.2,0.72,2.4,0.96
2023-08-07,Band-Aids,First Aid,1,0.8,0.48,0.8,0.32
2023-08-07,Face Wash (Vichy),Cosmetics,2,9.5,5.7,19.0,7.6
2023-08-08,Band-Aids,First Aid,5,0.8,0.48,4.0,1.6
2023-08-08,Sunblock (La Roche),Cosmetics,2,12.0,7.2,24.0,9.6
2023-08-08,Face Wash (Vichy),Cosmetics,1,9.5,5.7,9.5,3.8
2023-08-08,Cough Syrup,Cold & Flu,2,2.1,1.26,4.2,1.68
2023-08-09,Face Wash (Vichy),Cosmetics,1,9.5,5.7,9.5,3.8
2023-08-10,Diapers (Pampers),Baby Care,2,6.5,3.9,13.0,5.2
2023-08-10,Omega 3 Fish Oil,Vitamins,2,6.0,3.6,12.0,4.8
2023-08-10,Blood Pressure Monitor,Medical Devices,4,15.0,9.0,60.0,24.0
2023-08-11,Vitamin C 1000mg,Vitamins,5,3.5,2.1,17.5,7.0
2023-08-11,Blood Pressure Monitor,Medical Devices,4,15.0,9.0,60.0,24.0
2023-08-11,Baby Formula Milk,Baby Care,1,4.8,4.08,4.8,0.72
